USAF,WBAN,STATION NAME,ST,CALL,ELEV(M),BEGIN,END,lon,lat
690190,13910,ABILENE DYESS AFB,TX,KDYS,545.3,1943-12-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,-99.85,32.433
690190,99999,DYESS AFB/ABILENE,TX,,545.0,2000-01-03T00:00:00.000000000,2004-12-30T00:00:00.000000000,-99.85,32.417
690280,99999,PORT ISABEL (CGS),TX,,5.0,1982-06-27T00:00:00.000000000,1983-11-16T00:00:00.000000000,-97.167,26.067
690290,99999,PORT ARANSAS,TX,,2.0,1982-06-25T00:00:00.000000000,2004-11-29T00:00:00.000000000,-97.067,27.833
690500,99999,FORT CHAFFEE,AR,KQCU,143.0,1983-01-19T00:00:00.000000000,1983-01-19T00:00:00.000000000,-94.2,35.167
698414,99999,319 MISSILE SQ,CO,KQXG,1880.0,2001-03-20T00:00:00.000000000,2001-04-11T00:00:00.000000000,-103.833,40.5
711360,99999,BRANDON RCS - MB,,,405.0,2004-09-24T00:00:00.000000000,2025-05-25T00:00:00.000000000,-99.946,49.908
711400,99999,BRANDON MUNI,,CYBR,409.3,1977-07-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-99.95,49.917
711470,99999,CARMAN U OF M CS  MAN,,CWNK,268.0,1996-11-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.033,49.5
711480,99999,PILOT MOUND (AUT),,CWPO,471.0,1957-12-04T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.9,49.183
711510,99999,KENORA RCS,,,413.0,1994-01-03T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.367,49.783
711680,99999,SIOUX FALLS CLIMATE,SD,,481.5,1994-10-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-96.633,43.733
711700,99999,CARBERRY CS,,CWZE,384.0,1994-09-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-99.35,49.9
712390,99999,CYORESS RIVER RCS,,,374.0,1993-10-15T00:00:00.000000000,2025-05-25T00:00:00.000000000,-99.067,49.55
714350,99999,UPSALA (AUT)  ONT,,CWDV,489.0,1981-10-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-90.467,49.033
714410,99999,GRETNA (AUT)  MAN,,CWGN,253.0,1981-10-26T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.55,49.017
714470,99999,MELITA  MAN,,CWEI,446.0,1990-07-24T00:00:00.000000000,2025-05-25T00:00:00.000000000,-100.983,49.283
714490,99999,SPRAGUE,,CWSU,329.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-95.6,49.017
714520,99999,WEYBURN  SASK,,CWWF,589.0,1990-01-11T00:00:00.000000000,2025-05-25T00:00:00.000000000,-103.8,49.7
715270,99999,DRYDEN RGNL,,CYHD,412.7,1962-01-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-92.744,49.832
715590,99999,ESTEVAN,,CPJM,580.6,2011-11-28T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.967,49.217
715600,99999,EMERSON AUT  MAN,,,242.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.233,49.0
715640,99999,MORDEN CDA CS  MAN,,CXMD,298.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.083,49.183
715790,99999,WINNIPEG THE FORKS  MAN,,CXWN,230.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.133,49.883
717365,99999,RAWSON LAKE (AUT),,CTRA,435.0,2009-09-23T00:00:00.000000000,2025-05-25T00:00:00.000000000,-93.717,49.65
717366,99999,ROYAL ISLAND (AUT),,,329.0,2007-06-28T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.767,49.467
717470,99999,ATIKOKAN (AUT)  ONT,,CWCH,389.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-91.617,48.75
717483,99999,ATIKOKAN (AUT)    &,,,429.0,1988-12-08T00:00:00.000000000,1990-11-01T00:00:00.000000000,-91.633,48.767
717495,99999,UPSALA (AUT),,,489.0,1977-07-01T00:00:00.000000000,2021-12-12T00:00:00.000000000,-90.47,49.03
718400,99999,DEERWOOD RCS  MAN,,CXDW,341.0,2004-11-14T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.317,49.4
718425,99999,DRYDEN RGNL,ON,CYHD,413.0,1982-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,-92.733,49.833
718430,99999,WINNIPEG UA  MAN,,CXWI,227.0,2003-06-17T00:00:00.000000000,2013-04-30T00:00:00.000000000,-97.133,49.8
718470,99999,DRYDEN A  ONT,,,413.0,2001-09-12T00:00:00.000000000,2004-12-31T00:00:00.000000000,-92.75,49.833
718490,99999,WINNIPEG 'A' CS  MAN,,,239.0,2001-09-16T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.233,49.917
718500,99999,KENORA A,,CYQK,406.0,1955-07-04T00:00:00.000000000,2025-05-25T00:00:00.000000000,-94.367,49.783
718510,99999,SOUTHPORT,,CYPG,269.7,1955-07-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.274,49.903
718515,99999,PORTAGE SOUTHPORT,,CWPG,273.0,1995-01-01T00:00:00.000000000,2025-05-25T00:00:00.000000000,-98.267,49.9
718520,99999,WINNIPEG INTL,,CYWG,238.7,1955-07-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-97.24,49.91
718525,99999,GRETNA,,,252.0,1982-01-01T00:00:00.000000000,1995-06-05T00:00:00.000000000,-97.567,49.033
718527,99999,WINNEPEG,,WKT,239.0,1988-03-19T00:00:00.000000000,1989-11-09T00:00:00.000000000,-97.233,49.917
718530,99999,SHILO,,CWLO,373.0,1993-08-02T00:00:00.000000000,2013-07-03T00:00:00.000000000,-99.633,49.783
718535,99999,SPRAGUE (AUTO8),,,329.0,1988-12-23T00:00:00.000000000,1995-06-05T00:00:00.000000000,-95.6,49.017
718593,99999,MELITA (AUTO8),,,455.0,1988-12-23T00:00:00.000000000,1990-05-30T00:00:00.000000000,-100.983,49.283
718620,99999,ESTEVAN A,,CYEN,580.6,1955-07-02T00:00:00.000000000,2025-05-25T00:00:00.000000000,-102.967,49.217
719620,99999,FORT FRANCES RCS,,CTAG,342.0,2008-04-29T00:00:00.000000000,2025-05-25T00:00:00.000000000,-93.433,48.65
720048,99999,EUGENE ISLAND 330,LA,,0.0,2004-03-16T00:00:00.000000000,2009-08-01T00:00:00.000000000,-92.7,28.08
720110,53983,LLANO MUNICIPAL AIRPORT,TX,KAQO,335.9,2005-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-98.662,30.784
720110,99999,LLANO MUNI,TX,KAQO,336.0,2004-08-06T00:00:00.000000000,2004-12-31T00:00:00.000000000,-98.662,30.784
720150,99999,COMANCHE  COMANCHE COUN,,,423.0,2004-08-03T00:00:00.000000000,2004-09-30T00:00:00.000000000,-98.6,31.92
720151,3049,ALPINE-CASPARIS MUNI AR,TX,KE38,1375.6,2006-01-01T00:00:00.000000000,2025-05-27T00:00:00.000000000,-103.683,30.383
720151,99999,ALPINE CASPARIS MUNI,TX,KE38,1376.0,2004-04-26T00:00:00.000000000,2005-12-31T00:00:00.000000000,-103.684,30.384
720159,99999,HIGH ISLAND 264C,LA,KH08,30.0,2004-04-14T00:00:00.000000000,2013-05-10T00:00:00.000000000,-93.733,28.467
720172,53996,MENA INTERMOUNTAIN MUNI,AR,KMEZ,328.9,2006-01-01T00:00:00.000000000,2025-05-28T00:00:00.000000000,-94.203,34.545
